character,pinyin,pinyin_plain,pinyin_initial,definition_en,lookup_category,frequency_tier,learning_band,frequency_rank,token,frequency_per_million,coverage_rate_pct,rank_3500,rank_7000,in_3500,in_7000,in_corpus,source
泵,bèng,beng,B,pump (loanword),General Reference,Top 3500+,General 7000,4884.0,1553.0,0.8180906400811757,99.93616201157322,1757.0,2966.0,True,True,True,"3500, 7000, corpus"
比,bǐ,bi,B,Belgium; Belgian; abbr. for 比利時|比利时[Bi3 li4 shi2],General Reference,Top 300,HSK2 Expansion,190.0,1844194.0,971.4860591718375,59.183194020346306,1686.0,2822.0,True,True,True,"3500, 7000, corpus"
必,bì,bi,B,certainly; must; will; necessarily,General Reference,Top 600,HSK3 Expansion,379.0,940785.0,495.58750987042424,71.95590838071752,1052.0,1749.0,True,True,True,"3500, 7000, corpus"
毕,bì,bi,B,surname Bi,General Reference,Top 1200,General 3500,745.0,433506.0,228.36265358598206,84.18145638107693,1687.0,2823.0,True,True,True,"3500, 7000, corpus"
笔,bǐ,bi,B,"writing brush; writing implement (pen, pencil etc) (CL:支[zhi1],枝[zhi1]); brushstroke; stroke (in painting or calligraphy); (bound form) style of writing; literary manner; technique of brushwork; (classifier) stroke of a Chinese character; (classifier) sum of money; financial transaction; piece of business; (literary) to write (with a brush or pen)",Business & Work,Top 1200,General 3500,1014.0,273860.0,144.26420005964636,89.10780357012638,2309.0,4173.0,True,True,True,"3500, 7000, corpus"
避,bì,bi,B,to avoid; to shun; to flee; to escape; to keep away from; to leave; to hide from,Actions,Top 1200,General 3500,1032.0,268046.0,141.20149627250404,89.36492208337216,3154.0,5961.0,True,True,True,"3500, 7000, corpus"
闭,bì,bi,B,to close; to stop up; to shut; to obstruct,Actions,Top 1200,General 3500,1105.0,241527.0,127.23179525234136,90.33397146510373,3266.0,6339.0,True,True,True,"3500, 7000, corpus"
鼻,bí,bi,B,nose,General Reference,Top 2500,General 3500,1253.0,197996.0,104.30049863072277,92.04315524527307,3495.0,6977.0,True,True,True,"3500, 7000, corpus"
逼,bī,bi,B,to compel; to pressure,Actions,Top 2500,General 3500,1270.0,192855.0,101.5923183469769,92.21789145160375,3141.0,5937.0,True,True,True,"3500, 7000, corpus"
臂,bì,bi,B,arm,General Reference,Top 2500,General 3500,1277.0,190591.0,100.39968653168793,92.28847023297911,2589.0,4741.0,True,True,True,"3500, 7000, corpus"
壁,bì,bi,B,wall; rampart,General Reference,Top 2500,General 3500,1313.0,182739.0,96.26340339845072,92.64201813826514,694.0,1137.0,True,True,True,"3500, 7000, corpus"
彼,bǐ,bi,B,that; those; (one) another,Question & Function,Top 2500,General 3500,1502.0,141382.0,74.47732831677834,94.25306069938607,1033.0,1721.0,True,True,True,"3500, 7000, corpus"
碧,bì,bi,B,green jade; bluish green; blue; jade,General Reference,Top 2500,General 3500,1667.0,113618.0,59.85178515437413,95.3576538985212,2207.0,3988.0,True,True,True,"3500, 7000, corpus"
币,bì,bi,B,money; coins; currency; silk,Business & Work,Top 2500,General 3500,1735.0,104705.0,55.156587552929494,95.74701584186968,942.0,1573.0,True,True,True,"3500, 7000, corpus"
鄙,bǐ,bi,B,rustic; low; base; mean; to despise; to scorn,Actions,Top 2500,General 3500,2225.0,56240.0,29.62615428085339,97.74081483070974,3171.0,6028.0,True,True,True,"3500, 7000, corpus"
蔽,bì,bi,B,to cover; to shield; to screen; to conceal,Actions,Top 3500+,General 3500,2568.0,36096.0,19.014681097469488,98.55647421919323,2733.0,5097.0,True,True,True,"3500, 7000, corpus"
匕,bǐ,bi,B,dagger; ladle; ancient type of spoon,General Reference,Top 3500+,General 3500,2579.0,35573.0,18.739174719644343,98.57721679411462,372.0,537.0,True,True,True,"3500, 7000, corpus"
毙,bì,bi,B,to die; to shoot dead; to reject; to fall forward; (suffix) to death,Actions,Top 3500+,General 3500,2644.0,32880.0,17.320553925221542,98.69377316498996,1688.0,2826.0,True,True,True,"3500, 7000, corpus"
弊,bì,bi,B,detriment; fraud; harm; defeat,Actions,Top 3500+,General 3500,2990.0,20759.0,10.935443398226095,99.17155780040068,1006.0,1678.0,True,True,True,"3500, 7000, corpus"
璧,bì,bi,B,jade annulus,General Reference,Top 3500+,General 3500,3257.0,14608.0,7.69521446896704,99.41916813024837,2036.0,3614.0,True,True,True,"3500, 7000, corpus"
庇,bì,bi,B,to protect; cover; shelter; hide or harbor,Actions,Top 3500+,General 3500,3357.0,12566.0,6.619527999523537,99.49021874921952,977.0,1627.0,True,True,True,"3500, 7000, corpus"
痹,bì,bi,B,paralysis; numbness,General Reference,Top 3500+,General 7000,3554.0,9748.0,5.135059600458018,99.6052076310359,2098.0,3742.0,True,True,True,"3500, 7000, corpus"
蓖,bì,bi,B,the castor-oil plant,General Reference,Top 3500+,General 7000,6059.0,317.0,0.1669895253739425,99.98358140022445,2723.0,5071.0,True,True,True,"3500, 7000, corpus"
荸,bí,bi,B,used in 荸薺|荸荠[bi2 qi2],General Reference,Top 3500+,General 7000,6345.0,223.0,0.11747212668261568,99.98759367914856,2679.0,4942.0,True,True,True,"3500, 7000, corpus"
秕,bǐ,bi,B,grain not fully grown; husks; withered grain; unripe grain,Question & Function,Top 3500+,General 7000,6916.0,123.0,0.06479404296843826,99.99264671897267,2249.0,4076.0,True,True,True,"3500, 7000, corpus"
边,biān,bian,B,side; edge; margin; border; boundary; CL:個|个[ge4]; simultaneously,General Reference,Top 300,HSK1 Core,147.0,2448615.0,1289.883459537906,54.4019767429842,3094.0,5866.0,True,True,True,"3500, 7000, corpus"
便,biàn,bian,B,plain; informal; suitable; convenient; opportune; to urinate or defecate; equivalent to 就[jiu4]: then; in that case; even if; soon afterwards,Actions,Top 300,HSK2 Expansion,201.0,1735257.0,914.1001351161241,60.222694386422106,171.0,235.0,True,True,True,"3500, 7000, corpus"
变,biàn,bian,B,to change; to become different; to transform; to vary; rebellion,Places & Movement,Top 300,HSK2 Expansion,245.0,1428820.0,752.6749957249101,63.86467951660015,441.0,627.0,True,True,True,"3500, 7000, corpus"
遍,biàn,bian,B,everywhere; all over; classifier for actions: one time,Time,Top 1200,General 3500,1079.0,247865.0,130.5705321981459,89.99957557267942,3145.0,5943.0,True,True,True,"3500, 7000, corpus"
编,biān,bian,B,to weave; to plait; to organize; to group; to arrange; to edit; to compile; to write; to compose; to fabricate; to make up,Actions,Top 2500,General 3500,1381.0,167598.0,88.2874147432871,93.26930681004457,2443.0,4445.0,True,True,True,"3500, 7000, corpus"
辩,biàn,bian,B,to dispute; to debate; to argue; to discuss,Actions,Top 2500,General 3500,1898.0,83564.0,44.01991387491524,96.5494246378538,3090.0,5862.0,True,True,True,"3500, 7000, corpus"
鞭,biān,bian,B,"whip or lash; to flog; to whip; conductor's baton; segmented iron weapon (old); penis (of animal, served as food)",Actions,Top 2500,General 3500,2122.0,64899.0,34.18754954966402,97.41381578408817,3361.0,6525.0,True,True,True,"3500, 7000, corpus"
辨,biàn,bian,B,to distinguish; to recognize,Actions,Top 2500,General 3500,2282.0,51442.0,27.098659824247157,97.90185473527475,3089.0,5861.0,True,True,True,"3500, 7000, corpus"
扁,biǎn,bian,B,surname Pian,General Reference,Top 3500+,General 3500,2531.0,37657.0,19.836985984247796,98.48479999706709,1174.0,1981.0,True,True,True,"3500, 7000, corpus"
辫,biàn,bian,B,a braid or queue; to plait,Actions,Top 3500+,General 3500,3145.0,17059.0,8.98635430080153,99.32530416088508,3091.0,5863.0,True,True,True,"3500, 7000, corpus"
贬,biǎn,bian,B,to diminish; to demote; to reduce or devaluate; to disparage; to censure; to depreciate,Actions,Top 3500+,General 3500,3163.0,16755.0,8.82621292631043,99.34134068651976,2975.0,5625.0,True,True,True,"3500, 7000, corpus"
蝙,biān,bian,B,used in 蝙蝠[bian1 fu2],General Reference,Top 3500+,General 3500,3198.0,16004.0,8.430600517616957,99.37153924085824,2800.0,5256.0,True,True,True,"3500, 7000, corpus"
匾,biǎn,bian,B,horizontal rectangular inscribed tablet hung over a door or on a wall; shallow round woven bamboo basket,Actions,Top 3500+,General 7000,3762.0,7782.0,4.099408474637288,99.70057413738101,382.0,552.0,True,True,True,"3500, 7000, corpus"
表,biǎo,biao,B,exterior surface; family relationship via females; to show (one's opinion); a model; a table (listing information); a form; a meter (measuring sth),Actions,Top 300,HSK2 Expansion,268.0,1303318.0,686.5629471019431,65.49295218337642,2824.0,5324.0,True,True,True,"3500, 7000, corpus"
标,biāo,biao,B,"mark; sign; label; to mark with a symbol, label, lettering etc; to bear (a brand name, registration number etc); prize; award; bid; target; quota; (old) the topmost branches of a tree; visible symptom; classifier for military units",Actions,Top 1200,General 3500,869.0,352517.0,185.6992003667069,86.73390876554136,1559.0,2566.0,True,True,True,"3500, 7000, corpus"
彪,biāo,biao,B,(literary) tiger stripes; (by extension) ornate and brightly colored; (by synecdoche) young tiger; (fig.) strong; stalwart; (old) classifier for troops,Actions,Top 2500,General 3500,2451.0,42248.0,22.255436807565687,98.31672725225776,1026.0,1712.0,True,True,True,"3500, 7000, corpus"
膘,biāo,biao,B,(usu. of livestock) fat,General Reference,Top 3500+,General 7000,4622.0,2359.0,1.2426759948174457,99.90948419695961,2582.0,4728.0,True,True,True,"3500, 7000, corpus"
别,bié,bie,B,surname Bie,General Reference,Top 300,HSK2 Expansion,175.0,2000757.0,1053.9604473772652,57.662837623188835,317.0,452.0,True,True,True,"3500, 7000, corpus"
憋,biē,bie,B,to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one's breath),Actions,Top 2500,General 3500,2458.0,41712.0,21.973082278857696,98.33219606618425,1150.0,1931.0,True,True,True,"3500, 7000, corpus"
瘪,biě,bie,B,deflated; shriveled; sunken; empty,General Reference,Top 3500+,General 3500,3439.0,11246.0,5.9241772944963955,99.54178853873046,2103.0,3763.0,True,True,True,"3500, 7000, corpus"
鳖,biē,bie,B,softshell turtle,General Reference,Top 3500+,General 7000,3840.0,6999.0,3.686939079155279,99.73079655489144,3460.0,6837.0,True,True,True,"3500, 7000, corpus"
宾,bīn,bin,B,visitor; guest; object (in grammar),General Reference,Top 2500,General 3500,1638.0,117598.0,61.948372886198385,95.18098319492225,842.0,1391.0,True,True,True,"3500, 7000, corpus"
彬,bīn,bin,B,urbane; well-bred; cultivated,General Reference,Top 2500,General 3500,2172.0,60398.0,31.81650900168889,97.57811377545285,1027.0,1713.0,True,True,True,"3500, 7000, corpus"
滨,bīn,bin,B,"(bound form) water's edge; bank; shore; (bound form) to border on (a lake, river etc)",Actions,Top 3500+,General 3500,2797.0,26667.0,14.047664584059698,98.93211626099456,1863.0,3187.0,True,True,True,"3500, 7000, corpus"
鬓,bìn,bin,B,temples; hair on the temples,General Reference,Top 3500+,General 3500,3414.0,11728.0,6.1780856579987296,99.52668841871188,3445.0,6738.0,True,True,True,"3500, 7000, corpus"
缤,bīn,bin,B,used in 繽紛|缤纷[bin1 fen1],General Reference,Top 3500+,General 7000,3799.0,7365.0,3.8797408655491683,99.7152903395255,2448.0,4458.0,True,True,True,"3500, 7000, corpus"
濒,bīn,bin,B,to approach; to border on; near,Actions,Top 3500+,General 7000,3865.0,6797.0,3.580529350052641,99.73984638628309,1888.0,3250.0,True,True,True,"3500, 7000, corpus"
并,bìng,bing,B,and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge,Question & Function,Top 300,HSK2 Expansion,215.0,1624589.0,855.8023534313182,61.46365934440243,969.0,1617.0,True,True,True,"3500, 7000, corpus"
兵,bīng,bing,B,soldiers; a force; an army; weapons; arms; military; warlike; CL:個|个[ge4],General Reference,Top 300,HSK2 Expansion,287.0,1226804.0,646.2568381288773,66.75957479220098,246.0,366.0,True,True,True,"3500, 7000, corpus"
冰,bīng,bing,B,ice; CL:塊|块[kuai4]; to chill sth; (of an object or substance) to feel cold; (of a person) cold; unfriendly; (slang) methamphetamine,People & Pronouns,Top 1200,General 3500,620.0,534562.0,281.5970178641812,81.01893758145414,268.0,393.0,True,True,True,"3500, 7000, corpus"
病,bìng,bing,B,illness; CL:場|场[chang2]; disease; to fall ill; defect,Actions,Top 1200,General 3500,647.0,505956.0,266.5279252369036,81.7557471499603,2087.0,3719.0,True,True,True,"3500, 7000, corpus"
柄,bǐng,bing,B,"handle or shaft (of an axe etc); (of a flower, leaf or fruit) stem; sth that affords an advantage to an opponent; classifier for knives or blades",Actions,Top 2500,General 3500,1963.0,76845.0,40.480473430159655,96.82481712566197,1543.0,2538.0,True,True,True,"3500, 7000, corpus"
饼,bǐng,bing,B,round flat cake; cookie; cake; pastry; CL:張|张[zhang1],General Reference,Top 2500,General 3500,2481.0,40371.0,21.266669176250574,98.38188456329148,3408.0,6629.0,True,True,True,"3500, 7000, corpus"
禀,bǐng,bing,B,to make a report (to a superior); to give; to endow; to receive; petition,Actions,Top 3500+,General 3500,2596.0,34572.0,18.211867101665426,98.60862589081685,2234.0,4052.0,True,True,True,"3500, 7000, corpus"
秉,bǐng,bing,B,surname Bing,General Reference,Top 3500+,General 3500,3020.0,19831.0,10.446590781358529,99.20362453030003,2244.0,4071.0,True,True,True,"3500, 7000, corpus"
丙,bǐng,bing,B,"third of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; third in order; letter ""C"" or Roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc; ancient Chinese compass point: 165°; propyl",General Reference,Top 3500+,General 3500,3449.0,11170.0,5.88414195087362,99.54769169746956,17.0,18.0,True,True,True,"3500, 7000, corpus"
波,bō,bo,B,(bound form) Poland (abbr. for 波蘭|波兰[Bo1 lan2]); surname Bo,General Reference,Top 1200,General 3500,832.0,377782.0,199.00831821709383,86.02156105537922,1750.0,2955.0,True,True,True,"3500, 7000, corpus"
伯,bó,bo,B,one hundred (old),Numbers & Measures,Top 1200,General 3500,980.0,289144.0,152.31551837452122,88.60446458559356,133.0,169.0,True,True,True,"3500, 7000, corpus"
博,bó,bo,B,(bound form) abundant; plentiful; extensive; wide; to win; to gain; to play; to gamble; learned; well-read; (bound form) doctoral degree (abbr. for 博士[bo2 shi4]); (bound form) blog (abbr. for 博客[bo2 ke4]),Actions,Top 2500,General 3500,1297.0,186289.0,98.13347537030401,92.48681607161541,397.0,569.0,True,True,True,"3500, 7000, corpus"
脖,bó,bo,B,neck,General Reference,Top 2500,General 3500,1627.0,119048.0,62.71220510005396,95.11228412560808,2559.0,4682.0,True,True,True,"3500, 7000, corpus"
拨,bō,bo,B,"to push aside with the hand, foot, a stick etc; to dial; to allocate; to set aside (money); to poke (the fire); to pluck (a string instrument); to turn round; classifier: group, batch",Business & Work,Top 2500,General 3500,1725.0,105755.0,55.70970743192835,95.691559884767,1248.0,2076.0,True,True,True,"3500, 7000, corpus"
播,bō,bo,B,"(bound form) to sow (seeds); to spread (ideas, rumors etc); to broadcast (radio signals etc); Taiwan pr. [bo4]",Places & Movement,Top 2500,General 3500,1890.0,84353.0,44.4355439554201,96.5140697946471,1366.0,2254.0,True,True,True,"3500, 7000, corpus"
勃,bó,bo,B,flourishing; prosperous; suddenly; abruptly,General Reference,Top 2500,General 3500,1918.0,81808.0,43.09488672489428,96.63643150106007,357.0,514.0,True,True,True,"3500, 7000, corpus"
玻,bō,bo,B,see 玻璃[bo1 li5],Actions,Top 2500,General 3500,1989.0,74100.0,39.03446003220549,96.92794938243017,2018.0,3537.0,True,True,True,"3500, 7000, corpus"
膊,bó,bo,B,shoulder; upper arm,General Reference,Top 2500,General 3500,1994.0,73983.0,38.97282667425989,96.9474458046032,2580.0,4725.0,True,True,True,"3500, 7000, corpus"
卜,bo,bo,B,surname Bu,General Reference,Top 2500,General 3500,2216.0,57367.0,30.219836284312173,97.71391360834326,398.0,570.0,True,True,True,"3500, 7000, corpus"
搏,bó,bo,B,to fight; to combat; to seize; (of heart) to beat,Actions,Top 2500,General 3500,2309.0,49712.0,26.18732897599189,97.97364542864403,1339.0,2206.0,True,True,True,"3500, 7000, corpus"
驳,bó,bo,B,variegated; heterogeneous; to refute; to contradict; to ship by barge; a barge; a lighter (ship),Actions,Top 2500,General 3500,2373.0,46073.0,24.27037350963297,98.13564823590124,3424.0,6664.0,True,True,True,"3500, 7000, corpus"
剥,bō,bo,B,to peel; to skin; to shell; to shuck,Actions,Top 2500,General 3500,2450.0,42275.0,22.269659890168512,98.31450170857701,334.0,482.0,True,True,True,"3500, 7000, corpus"
簸,bǒ,bo,B,to winnow; to toss up and down,Time,Top 3500+,General 7000,3547.0,9837.0,5.181943094963635,99.60160018318507,2347.0,4272.0,True,True,True,"3500, 7000, corpus"
跛,bǒ,bo,B,to limp; lame; crippled,Actions,Top 3500+,General 7000,4071.0,5214.0,2.746635284857212,99.80441407152585,3030.0,5719.0,True,True,True,"3500, 7000, corpus"
渤,bó,bo,B,"same as 渤海[Bo2 Hai3], Bohai Sea between Liaoning and Shandong; Gulf of Zhili or Chihli",Actions,Top 3500+,General 7000,4226.0,4217.0,2.221434790226863,99.84280248753937,1833.0,3112.0,True,True,True,"3500, 7000, corpus"
菠,bō,bo,B,spinach,General Reference,Top 3500+,General 7000,4251.0,4056.0,2.136623075447037,99.84822379984676,2692.0,4988.0,True,True,True,"3500, 7000, corpus"
舶,bó,bo,B,ship,General Reference,Top 3500+,General 7000,4607.0,2433.0,1.281657776765937,99.90759410731596,2611.0,4783.0,True,True,True,"3500, 7000, corpus"
不,bù,bu,B,no; not so; (bound form) not; un-,Question & Function,Top 100,Zero Beginner,5.0,29858097.0,15728.673333120305,10.973395692384562,9.0,9.0,True,True,True,"3500, 7000, corpus"
部,bù,bu,B,"ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc",Business & Work,Top 300,HSK2 Expansion,179.0,1972176.0,1038.9045242709162,58.07990344486532,3168.0,6015.0,True,True,True,"3500, 7000, corpus"
步,bù,bu,B,surname Bu,General Reference,Top 600,HSK3 Expansion,333.0,1077549.0,567.6321642812819,69.52841325720672,1665.0,2783.0,True,True,True,"3500, 7000, corpus"
布,bù,bu,B,to announce; to spread,Actions,Top 600,HSK3 Expansion,577.0,591571.0,311.6282666087966,79.74559488216819,944.0,1575.0,True,True,True,"3500, 7000, corpus"
